District,Division,Year,Season,Area_ir,Area_rf,Area_total,Pct_irrigated,Planting_Month_w,Maturity_Month_w
Faridpur,Dhaka,2000,Aus,0.0,5491.0,5491.0,0.0,5.0,8.0
Faridpur,Dhaka,2000,Boro,17226.0,20391.0,37617.0,0.4579312544860037,6.03724379934604,4.0
Faridpur,Dhaka,2005,Aman,17334.0,27251.0,44585.0,0.3887854659638892,7.0,11.61121453403611
Faridpur,Dhaka,2005,Aus,0.0,4821.0,4821.0,0.0,5.0,8.0
Faridpur,Dhaka,2005,Boro,20538.0,17902.0,38440.0,0.5342872008324662,6.877159209157128,4.0
Faridpur,Dhaka,2010,Aman,18878.0,29959.0,48837.0,0.3865511804574401,7.0,11.61344881954256
Faridpur,Dhaka,2010,Aus,0.0,5300.0,5300.0,0.0,5.0,8.0
Faridpur,Dhaka,2010,Boro,22367.0,19682.0,42049.0,0.5319270375038645,6.85119741254251,4.0
Faridpur,Dhaka,2015,Aman,18878.0,29344.0,48222.0,0.3914810667330264,7.0,11.608518933266973
Faridpur,Dhaka,2015,Aus,0.0,5191.0,5191.0,0.0,5.0,8.0
Faridpur,Dhaka,2015,Boro,22367.0,19277.0,41644.0,0.5371001824992796,6.908102007492076,4.0
Feni,Chittagong,2000,Aman,615.0,56216.0,56831.0,0.010821558656367124,7.0,11.989178441343633
Feni,Chittagong,2000,Aus,0.0,10481.0,10481.0,0.0,5.0,8.0
Feni,Chittagong,2000,Boro,17711.0,28585.0,46296.0,0.3825600483843097,5.2081605322274065,4.61743995161569
Feni,Chittagong,2005,Aman,722.0,49353.0,50075.0,0.014418372441337993,7.0,11.985581627558663
Feni,Chittagong,2005,Aus,0.0,9201.0,9201.0,0.0,5.0,8.0
Feni,Chittagong,2005,Boro,21117.0,25095.0,46212.0,0.4569592313684757,6.026551545053233,4.543040768631524
Feni,Chittagong,2010,Aman,787.0,54259.0,55046.0,0.01429713330668895,7.0,11.98570286669331
Feni,Chittagong,2010,Aus,0.0,10116.0,10116.0,0.0,5.0,8.0
Feni,Chittagong,2010,Boro,22997.0,27590.0,50587.0,0.4546029612350999,6.000632573586099,4.5453970387649
Feni,Chittagong,2015,Aman,787.0,53143.0,53930.0,0.01459299091414797,7.0,11.985407009085852
Feni,Chittagong,2015,Aus,0.0,9908.0,9908.0,0.0,5.0,8.0
Feni,Chittagong,2015,Boro,22997.0,27022.0,50019.0,0.4597652891901078,6.057418181091185,4.540234710809893
Gaibandha,Rangpur,2000,Aman,12915.0,73663.0,86578.0,0.1491718450414655,7.850828154958535,11.850828154958535
Gaibandha,Rangpur,2000,Aus,0.0,1398.0,1398.0,0.0,5.0,8.0
Gaibandha,Rangpur,2000,Boro,69873.0,0.0,69873.0,1.0,12.0,4.0
Gaibandha,Rangpur,2005,Aman,15168.0,64670.0,79838.0,0.18998471905608857,7.810015280943912,11.810015280943912
Gaibandha,Rangpur,2005,Aus,0.0,1227.0,1227.0,0.0,5.0,8.0
Gaibandha,Rangpur,2005,Boro,83310.0,0.0,83310.0,1.0,12.0,4.0
Gaibandha,Rangpur,2010,Aman,16518.0,71099.0,87617.0,0.18852505792254928,7.81147494207745,11.811474942077451
Gaibandha,Rangpur,2010,Aus,0.0,1349.0,1349.0,0.0,5.0,8.0
Gaibandha,Rangpur,2010,Boro,90729.0,0.0,90729.0,1.0,12.0,4.0
Gaibandha,Rangpur,2015,Aman,16518.0,69637.0,86155.0,0.19172421797922348,7.808275782020776,11.808275782020777
Gaibandha,Rangpur,2015,Aus,0.0,1322.0,1322.0,0.0,5.0,8.0
Gaibandha,Rangpur,2015,Boro,90729.0,0.0,90729.0,1.0,12.0,4.0
Gazipur,Dhaka,2000,Aman,6150.0,16657.0,22807.0,0.26965405358004124,7.0,11.730345946419959
Gazipur,Dhaka,2000,Aus,0.0,885.0,885.0,0.0,5.0,8.0
Gazipur,Dhaka,2000,Boro,36878.0,22411.0,59289.0,0.622004081701496,7.842044898716456,4.0
Gazipur,Dhaka,2005,Aman,7223.0,14624.0,21847.0,0.3306174760836728,7.0,11.669382523916328
Gazipur,Dhaka,2005,Aus,0.0,777.0,777.0,0.0,5.0,8.0
Gazipur,Dhaka,2005,Boro,43969.0,19675.0,63644.0,0.6908585255483628,8.59944378103199,4.0
Gazipur,Dhaka,2010,Aman,7866.0,16077.0,23943.0,0.3285302593659942,7.0,11.671469740634006
Gazipur,Dhaka,2010,Aus,0.0,854.0,854.0,0.0,5.0,8.0
Gazipur,Dhaka,2010,Boro,47885.0,21631.0,69516.0,0.6888342252143391,8.57717647735773,4.0
Gazipur,Dhaka,2015,Aman,7866.0,15747.0,23613.0,0.3331215855672723,7.0,11.666878414432727
Gazipur,Dhaka,2015,Aus,0.0,837.0,837.0,0.0,5.0,8.0
Gazipur,Dhaka,2015,Boro,47885.0,21186.0,69071.0,0.6932721402614701,8.62599354287617,4.0
Gopalgonj,Dhaka,2000,Aman,2152.0,9268.0,11420.0,0.1884413309982487,7.0,11.811558669001752
Gopalgonj,Dhaka,2000,Aus,0.0,972.0,972.0,0.0,5.0,8.0
Gopalgonj,Dhaka,2000,Boro,45612.0,19162.0,64774.0,0.7041714268070522,8.745885694877574,4.0
